Wavelength (nm),Unnamed: 1,Unnamed: 2,Unnamed: 3,THYLTHA,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,THYRTHA,Unnamed: 10,Unnamed: 11,Unnamed: 12,Wavelength (nm)2,Abs
,,,,,,,,,,,,,652.0,37119782.0
,,,,,,,,,,,,,6515999756.0,370093972.0
,,,,,,,,,,,,,6512000122.0,369208366.0
,,,,,,,,,,,,,6507999878.0,368271589.0
,,,,,,,,,,,,,6504000244.0,366399169.0
,,,,,,,,,,,,,650.0,365109086.0
,,,,,,,,,,,,,6495999756.0,363400668.0
,,,,,,,,,,,,,6492000122.0,361042827.0
,,,,,,,,,,,,,6487999878.0,35858193.0
,,,,,,,,,,,,,6484000244.0,356467277.0
,,,,,,,,,,,,,648.0,353397638.0
,,,,,,,,,,,,,6475999756.0,350021154.0
,,,,,,,,,,,,,6472000122.0,347164601.0
,,,,,,,,,,,,,6467999878.0,343455851.0
,,,,,,,,,,,,,6464000244.0,340479016.0
,,,,,,,,,,,,,646.0,337108582.0
,,,,,,,,,,,,,6455999756.0,334055692.0
,,,,,,,,,,,,,6452000122.0,33034116.0
,,,,,,,,,,,,,6447999878.0,326835513.0
,,,,,,,,,,,,,6444000244.0,323003054.0
,,,,,,,,,,,,,644.0,31987682.0
