Wavelength (nm) aceton;Abs_aceton;Wavelength (nm);Abs
535,5999756;0,076345488;564,4000244;0,031886037
536;0,076547801;564;0,0312966
536,4000244;0,076424316;563,5999756;0,031033779
536,7999878;0,076353945;563,2000122;0,03093292
537,2000122;0,076660514;562,7999878;0,030484285
537,5999756;0,076555274;562,4000244;0,030176029
538;0,076646954;562;0,029994952
538,4000244;0,076625243;561,5999756;0,029767402
538,7999878;0,076758698;561,2000122;0,029283913
539,2000122;0,076708071;560,7999878;0,029187558
539,5999756;0,076763764;560,4000244;0,028985307
540;0,076830313;560;0,028899226
540,4000244;0,076926686;559,5999756;0,028653501
540,7999878;0,076789625;559,2000122;0,028360715
541,2000122;0,076899551;558,7999878;0,028151723
541,5999756;0,076870598;558,4000244;0,027975215
542;0,076879464;558;0,027902612
542,4000244;0,076843284;557,5999756;0,027875395
542,7999878;0,076687902;557,2000122;0,027562888
543,2000122;0,076727904;556,7999878;0,027390892
543,5999756;0,076639883;556,4000244;0,027513932
544;0,076606996;556;0,027593946
544,4000244;0,076594889;555,5999756;0,027385516
544,7999878;0,076453425;555,2000122;0,027234454
545,2000122;0,076555364;554,7999878;0,027258048
545,5999756;0,076430857;554,4000244;0,02718446
546;0,076444842;554;0,027187273
546,4000244;0,076321788;553,5999756;0,027319545
546,7999878;0,076268561;553,2000122;0,02721756
547,2000122;0,076430611;552,7999878;0,02724942
547,5999756;0,076293617;552,4000244;0,027332941
548;0,076425955;552;0,027424255
548,4000244;0,076453947;551,5999756;0,027099259
548,7999878;0,07631892;551,2000122;0,02723247
549,2000122;0,076295778;550,7999878;0,02718471
549,5999756;0,076309077;550,4000244;0,027112871
550;0,076337434;550;0,027426075
550,4000244;0,07637132;549,5999756;0,027489802
550,7999878;0,076461732;549,2000122;0,027305376
551,2000122;0,076404005;548,7999878;0,027461287
551,5999756;0,076279856;548,4000244;0,027348794
552;0,076360054;548;0,027592292
552,4000244;0,076663509;547,5999756;0,027646415
552,7999878;0,076657578;547,2000122;0,027728191
553,2000122;0,076702639;546,7999878;0,027662968
553,5999756;0,076825492;546,4000244;0,027483623
554;0,076931655;546;0,027671576
554,4000244;0,07693778;545,5999756;0,027777227
554,7999878;0,076789223;545,2000122;0,027853426
555,2000122;0,076970316;544,7999878;0,027854888
555,5999756;0,077181675;544,4000244;0,028002769
556;0,07725057;544;0,028118581
556,4000244;0,07731799;543,5999756;0,027922239
556,7999878;0,077619262;543,2000122;0,027975492
557,2000122;0,077767916;542,7999878;0,027965553
557,5999756;0,077852204;542,4000244;0,027956938
558;0,078174576;542;0,027934577
558,4000244;0,078454055;541,5999756;0,027993355
558,7999878;0,078503922;541,2000122;0,027991174
559,2000122;0,078599989;540,7999878;0,027948491
559,5999756;0,078874618;540,4000244;0,028015388
560;0,07895375;540;0,027955836
560,4000244;0,07916265;539,5999756;0,028038885
560,7999878;0,079500146;539,2000122;0,027942169
561,2000122;0,079648234;538,7999878;0,028146891
561,5999756;0,080091305;538,4000244;0,028016685
562;0,080204032;538;0,028074672
562,4000244;0,080572598;537,5999756;0,027957989
562,7999878;0,080826245;537,2000122;0,027985238
563,2000122;0,081032149;536,7999878;0,028208209
563,5999756;0,081350148;536,4000244;0,028020633
564;0,081571639;536;0,028112616
564,4000244;0,081899948;535,5999756;0,028212298
564,7999878;0,082254186;535,2000122;0,028232407
565,2000122;0,082476228;534,7999878;0,028401863
565,5999756;0,082557648;534,4000244;0,028474357
566;0,082933038;534;0,028660912
566,4000244;0,083122641;533,5999756;0,028724903
566,7999878;0,083507091;533,2000122;0,028969618
567,2000122;0,083574861;532,7999878;0,029035231
567,5999756;0,083842702;532,4000244;0,029069634
568;0,084219523;532;0,02923302
568,4000244;0,084421128;531,5999756;0,029387271
568,7999878;0,084767267;531,2000122;0,029621467
569,2000122;0,08508613;530,7999878;0,029797565
569,5999756;0,085384838;530,4000244;0,030095289
570;0,085181706;530;0,030349519
570,4000244;0,085331649;529,5999756;0,030643232
570,7999878;0,08567372;529,2000122;0,030838087
571,2000122;0,085926771;528,7999878;0,031104321
571,5999756;0,086110555;528,4000244;0,031470124
572;0,086385898;528;0,031714354
572,4000244;0,086596511;527,5999756;0,032099482
572,7999878;0,086636804;527,2000122;0,032597978
573,2000122;0,086858161;526,7999878;0,032957189
573,5999756;0,087013997;526,4000244;0,033443641
