Wavelength (nm);Abs_HP;Abs_AT
520,7999878;0,158056811;0,050211161
520,4000244;0,160140395;0,05121994
520;0,163391277;0,052147757
519,5999756;0,16594483;0,0526415
519,2000122;0,169252425;0,054133669
518,7999878;0,171853274;0,055367805
518,4000244;0,174496979;0,056494419
518;0,178050429;0,057457369
517,5999756;0,18102701;0,058241736
517,2000122;0,184270337;0,059719384
516,7999878;0,187614217;0,060877904
516,4000244;0,191795349;0,061928395
516;0,195173264;0,063364051
515,5999756;0,198554277;0,064591974
515,2000122;0,20220983;0,065887928
514,7999878;0,206478566;0,067210063
514,4000244;0,209235355;0,068963282
514;0,213917226;0,070075639
513,5999756;0,217350602;0,072055012
513,2000122;0,221599475;0,07332053
512,7999878;0,225804418;0,075013511
512,4000244;0,230438829;0,0764274
512;0,234349951;0,078318529
511,6000061;0,238398716;0,079793878
511,1999817;0,242716059;0,081050552
510,7999878;0,247539222;0,082809292
510,3999939;0,251923144;0,08464665
510;0,256633133;0,086123966
509,6000061;0,260496348;0,088276923
509,1999817;0,265928596;0,090192564
508,7999878;0,270287931;0,091872416
508,3999939;0,275176019;0,094116561
508;0,280905724;0,095672578
507,6000061;0,284993887;0,098041564
507,1999817;0,28943342;0,099585518
506,7999878;0,294474751;0,101318687
506,3999939;0,299024522;0,103386842
506;0,304899067;0,105225571
505,6000061;0,309161365;0,107311435
505,1999817;0,313882768;0,109636851
504,7999878;0,319020569;0,111605704
504,3999939;0,323486447;0,113310315
504;0,328662902;0,115477644
503,6000061;0,333555371;0,117635958
503,1999817;0,338382334;0,119598739
502,7999878;0,34349519;0,121956788
502,3999939;0,348289162;0,124258846
502;0,353193939;0,126304492
501,6000061;0,357605696;0,127727166
501,1999817;0,362924039;0,129806697
500,7999878;0,367405444;0,132397071
500,3999939;0,372733116;0,13431327
500;0,376751572;0,13581188
499,6000061;0,381148189;0,138402104
499,1999817;0,385292441;0,140413612
498,7999878;0,390141159;0,141808778
498,3999939;0,393951953;0,144438207
498;0,39878425;0,145273119
497,6000061;0,402405769;0,147592828
497,1999817;0,406822354;0,149508134
496,7999878;0,4106794;0,151458949
496,3999939;0,415061712;0,153872222
496;0,418847919;0,155367389
495,6000061;0,422331065;0,156365067
495,1999817;0,426383376;0,158753932
494,7999878;0,430007339;0,159706548
494,3999939;0,432988405;0,161743388
494;0,435790896;0,162801936
493,6000061;0,43940264;0,164919823
493,1999817;0,442201614;0,166398361
492,7999878;0,445343643;0,167465195
