Baseline 100%T,,Eva,,Koen,,Jasmijn,,Mads,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
581.5999756,0.3365080059,581.5999756,0.07510003448,581.5999756,0.1303757578,581.5999756,0.05126168206,581.5999756,0.2319134325,
581.2000122,0.3365761936,581.2000122,0.07440832257,581.2000122,0.1295744777,581.2000122,0.05090237781,581.2000122,0.2304373682,
580.7999878,0.3365775347,580.7999878,0.07392413914,580.7999878,0.1290378571,580.7999878,0.05057111382,580.7999878,0.2291036993,
580.4000244,0.3367594779,580.4000244,0.07311993092,580.4000244,0.1280490905,580.4000244,0.05018192902,580.4000244,0.2277179956,
580,0.3367939591,580,0.07255500555,580,0.1272983104,580,0.04971317947,580,0.22620821,
579.5999756,0.3368164897,579.5999756,0.07196781039,579.5999756,0.1264528036,579.5999756,0.04947024584,579.5999756,0.224789992,
579.2000122,0.3367905915,579.2000122,0.07141475379,579.2000122,0.1257568449,579.2000122,0.04906911775,579.2000122,0.2231926918,
578.7999878,0.3369155526,578.7999878,0.07064243406,578.7999878,0.1247749627,578.7999878,0.04852696508,578.7999878,0.2215953469,
578.4000244,0.3370285928,578.4000244,0.06993561238,578.4000244,0.1238608062,578.4000244,0.04805921763,578.4000244,0.2200333476,
578,0.3370801806,578,0.06929807365,578,0.1230765283,578,0.04767782241,578,0.2184137851,
577.5999756,0.3372430205,577.5999756,0.06847801059,577.5999756,0.1219876707,577.5999756,0.04714836553,577.5999756,0.2165141702,
577.2000122,0.3372002244,577.2000122,0.06781836599,577.2000122,0.1212385595,577.2000122,0.04671720415,577.2000122,0.2150333822,
576.7999878,0.3372523785,576.7999878,0.06717265397,576.7999878,0.1204277128,576.7999878,0.04631555825,576.7999878,0.2133219838,
576.4000244,0.3372735083,576.4000244,0.06635731459,576.4000244,0.1193039343,576.4000244,0.04587570205,576.4000244,0.211646989,
576,0.3373541832,576,0.06564014405,576,0.1183485165,576,0.04537835345,576,0.2096963823,
575.5999756,0.3374312222,575.5999756,0.06494348496,575.5999756,0.1175602451,575.5999756,0.04485702887,575.5999756,0.2079718262,
575.2000122,0.3375347257,575.2000122,0.06415911019,575.2000122,0.1163962334,575.2000122,0.0443729125,575.2000122,0.2060683966,
574.7999878,0.3375340402,574.7999878,0.06339304894,574.7999878,0.115436174,574.7999878,0.04416616261,574.7999878,0.2043944597,
574.4000244,0.3375959992,574.4000244,0.06270135939,574.4000244,0.1144552901,574.4000244,0.04357236624,574.4000244,0.2025061697,
574,0.3377590477,574,0.0617652759,574,0.1133222729,574,0.04304114357,574,0.2004738599,
573.5999756,0.3377034366,573.5999756,0.06108532101,573.5999756,0.1124472767,573.5999756,0.04253831878,573.5999756,0.1985636503,
573.2000122,0.3376312852,573.2000122,0.06033393368,573.2000122,0.1115879938,573.2000122,0.0420791395,573.2000122,0.1967671365,
572.7999878,0.3378095627,572.7999878,0.05945449322,572.7999878,0.1104821935,572.7999878,0.04143062979,572.7999878,0.1948590279,
572.4000244,0.3378355503,572.4000244,0.05871235207,572.4000244,0.1095705479,572.4000244,0.04107065871,572.4000244,0.1930596083,
572,0.3377954662,572,0.05807543918,572,0.1085592285,572,0.04053231329,572,0.1910853237,
571.5999756,0.3377758265,571.5999756,0.057314381,571.5999756,0.1078613773,571.5999756,0.04006698728,571.5999756,0.1894435287,
571.2000122,0.3380380571,571.2000122,0.05615090951,571.2000122,0.1065142825,571.2000122,0.03927503526,571.2000122,0.1872550249,
570.7999878,0.338034749,570.7999878,0.05554515868,570.7999878,0.1055965573,570.7999878,0.03886568919,570.7999878,0.1853437722,
