Baseline 100%T;;Koen;;Mads;;Eva;;Jasmijn;;;;;;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;;;;;
693,2000122;0,35373494;693,2000122;0,022830985;693,2000122;0,114852794;693,2000122;0,052012462;693,2000122;0,059780546;;406,7999878;1,370898962;;1,371293182
692,7999878;0,353706598;692,7999878;0,024181228;692,7999878;0,117537275;692,7999878;0,052841946;692,7999878;0,05992176;;407,1999817;1,383276343;;1,383670563
692,4000244;0,353628367;692,4000244;0,025689779;692,4000244;0,120520808;692,4000244;0,054071743;692,4000244;0,060199689;;407,6000061;1,395204902;;1,395599122
692;0,353613436;692;0,027295232;692;0,123432376;692;0,05525111;692;0,060522195;;408;1,406771302;;1,407165522
691,5999756;0,353539109;691,5999756;0,028841738;691,5999756;0,126825705;691,5999756;0,056720927;691,5999756;0,060832996;;408,3999939;1,417881131;;1,418275351
691,2000122;0,353584796;691,2000122;0,030609651;691,2000122;0,130428776;691,2000122;0,05797597;691,2000122;0,061107907;;408,7999878;1,428569198;;1,428963418
690,7999878;0,353621602;690,7999878;0,032477476;690,7999878;0,134342611;690,7999878;0,059471801;690,7999878;0,061295606;;409,1999817;1,438574314;;1,438968534
690,4000244;0,353532791;690,4000244;0,034611091;690,4000244;0,138606474;690,4000244;0,061013222;690,4000244;0,061720189;;409,6000061;1,447388887;;1,447783107
690;0,35348478;690;0,036986396;690;0,143116981;690;0,062693641;690;0,062095817;;410;1,455908418;;1,456302638
689,5999756;0,35343039;689,5999756;0,039554011;689,5999756;0,148202509;689,5999756;0,064662233;689,5999756;0,062415246;;410,3999939;1,464003325;;1,464397545
689,2000122;0,353496552;689,2000122;0,042136353;689,2000122;0,153304383;689,2000122;0,066588216;689,2000122;0,062884755;;410,7999878;1,471003413;;1,471397633
688,7999878;0,353411317;688,7999878;0,04498262;688,7999878;0,159085557;688,7999878;0,068946987;688,7999878;0,063474111;;411,1999817;1,477958322;;1,478352542
688,4000244;0,35341987;688,4000244;0,048184611;688,4000244;0,165388301;688,4000244;0,071383931;688,4000244;0,063995846;;411,6000061;1,484302163;;1,484696383
688;0,353416711;688;0,051519986;688;0,171995297;688;0,074015513;688;0,064406864;;412;1,489279985;;1,489674205
687,5999756;0,353469342;687,5999756;0,055058863;687,5999756;0,179483861;687,5999756;0,076900512;687,5999756;0,065142415;;412,3999939;1,493934155;;1,494328375
687,2000122;0,353390068;687,2000122;0,059275717;687,2000122;0,187556252;687,2000122;0,080062948;687,2000122;0,065840475;;412,7999878;1,498070359;;1,498464579
686,7999878;0,353299052;686,7999878;0,063635118;686,7999878;0,196240068;686,7999878;0,083313614;686,7999878;0,066481046;;413,1999817;1,501858354;;1,502252574
686,4000244;0,353325099;686,4000244;0,068368919;686,4000244;0,205365211;686,4000244;0,086841971;686,4000244;0,06719429;;413,6000061;1,505043268;;1,505437488
686;0,353255183;686;0,073487714;686;0,215588212;686;0,090813465;686;0,068057306;;414;1,507482767;;1,507876987
685,5999756;0,353221774;685,5999756;0,079196848;685,5999756;0,226661786;685,5999756;0,095112972;685,5999756;0,068916924;;414,3999939;1,510091424;;1,510485644
685,2000122;0,353331596;685,2000122;0,08505401;685,2000122;0,238307387;685,2000122;0,099641621;685,2000122;0,06979952;;414,7999878;1,511802316;;1,512196536
684,7999878;0,353193641;684,7999878;0,091879807;684,7999878;0,251532942;684,7999878;0,104796447;684,7999878;0,070960231;;415,1999817;1,513676643;;1,514070863
684,4000244;0,353210688;684,4000244;0,098966561;684,4000244;0,265604287;684,4000244;0,110210024;684,4000244;0,072059564;;415,6000061;1,515400767;;1,515794987
684;0,353157699;684;0,106600829;684;0,280613899;684;0,116118074;684;0,073363654;;416;1,5166291;;1,51702332
