Baseline 100%T;;Baseline 0%T;;Eva;;Jasmijn;;Mads;;Koen;;F. albivenis (Nicco);;A. thaliana (model);
Wavelength (nm);%T;Wavelength (nm);%T;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
755,5999756;64,32202911;755,5999756;-4,978190422;755,5999756;-6,13E-05;755,5999756;-0,012187517;755,5999756;-0,001278333;755,5999756;-0,020054189;755,5999756;6,35E-05;755,5999756;0,001041631
755,2000122;64,33649445;755,2000122;-5,021869183;755,2000122;8,71E-05;755,2000122;-0,012322305;755,2000122;-0,001392604;755,2000122;-0,02097494;755,2000122;0,000687402;755,2000122;0,001016358
754,7999878;64,31443024;754,7999878;-4,92279768;754,7999878;-0,001022585;754,7999878;-0,013237783;754,7999878;-0,002045036;754,7999878;-0,020645285;754,7999878;-8,09E-05;754,7999878;0,001663664
754,4000244;64,33079529;754,4000244;-4,965419769;754,4000244;0,00075251;754,4000244;-0,014024283;754,4000244;-0,001179625;754,4000244;-0,021280486;754,4000244;0,000583551;754,4000244;0,001505286
754;64,48914337;754;-4,970682144;754;0,000372218;754;-0,011765015;754;-0,000242484;754;-0,019707952;754;0,001162099;754;0,001465363
753,5999756;64,45648956;753,5999756;-4,922700882;753,5999756;0,00119618;753,5999756;-0,011468228;753,5999756;-0,000220906;753,5999756;-0,019621411;753,5999756;0,000771362;753,5999756;0,002364664
753,2000122;64,50544739;753,2000122;-4,96835947;753,2000122;0,000846701;753,2000122;-0,012576365;753,2000122;-0,001057034;753,2000122;-0,019687073;753,2000122;0,001482999;753,2000122;0,002687392
752,7999878;64,40614319;752,7999878;-5,011787415;752,7999878;0,000162335;752,7999878;-0,012947779;752,7999878;-0,001011015;752,7999878;-0,020665377;752,7999878;0,001006525;752,7999878;0,001607435
752,4000244;64,42272949;752,4000244;-4,925825119;752,4000244;-0,000390651;752,4000244;-0,012420273;752,4000244;-0,000934771;752,4000244;-0,020798596;752,4000244;0,00128042;752,4000244;0,00185059
752;64,41610718;752;-4,989999771;752;0,00011368;752;-0,013047567;752;-0,000995106;752;-0,020418279;752;0,000650017;752;0,001522145
751,5999756;64,52376556;751,5999756;-4,974423885;751,5999756;0,000116166;751,5999756;-0,012207803;751,5999756;-0,000739915;751,5999756;-0,019591324;751,5999756;-2,26E-05;751,5999756;0,001039815
751,2000122;64,44610596;751,2000122;-4,925188065;751,2000122;-0,000105498;751,2000122;-0,012613933;751,2000122;-0,001022895;751,2000122;-0,019581029;751,2000122;0,000446089;751,2000122;0,00160624
750,7999878;64,5459671;750,7999878;-4,994796276;750,7999878;-0,000700013;750,7999878;-0,011753325;750,7999878;-0,00043808;750,7999878;-0,020438677;750,7999878;0,000336803;750,7999878;0,001674266
750,4000244;64,43676758;750,4000244;-4,950013638;750,4000244;7,05E-05;750,4000244;-0,012957679;750,4000244;-0,000871224;750,4000244;-0,021085132;750,4000244;0,00165275;750,4000244;0,001841544
750;64,38201904;750;-4,95704174;750;-0,001019435;750;-0,013262439;750;-0,001913721;750;-0,021419283;750;0,001033146;750;0,001976042
749,5999756;64,54107666;749,5999756;-4,991174698;749,5999756;-0,000177852;749,5999756;-0,01247018;749,5999756;-0,000880317;749,5999756;-0,020956637;749,5999756;0,000474257;749,5999756;0,001007018
749,2000122;64,60752869;749,2000122;-4,977712631;749,2000122;0,000709544;749,2000122;-0,012145884;749,2000122;-0,000671635;749,2000122;-0,020031745;749,2000122;0,001541654;749,2000122;0,002331766
748,7999878;64,50701904;748,7999878;-4,96489954;748,7999878;0,000514374;748,7999878;-0,012625148;748,7999878;-0,000696912;748,7999878;-0,020676089;748,7999878;0,001583714;748,7999878;0,001655037
748,4000244;64,5843811;748,4000244;-4,982034683;748,4000244;0,000652869;748,4000244;-0,012304691;748,4000244;-0,001426044;748,4000244;-0,020253122;748,4000244;0,001063921;748,4000244;0,001967252
748;64,55430603;748;-4,967942238;748;0,00096369;748;-0,012320695;748;-0,001112396;748;-0,019410456;748;0,000480995;748;0,000577667
747,5999756;64,59194183;747,5999756;-4,924657345;747,5999756;0,00073607;747,5999756;-0,012657783;747,5999756;-0,000494865;747,5999756;-0,020389086;747,5999756;0,002164638;747,5999756;0,002944314
747,2000122;64,67256165;747,2000122;-4,952160835;747,2000122;0,001630898;747,2000122;-0,012088941;747,2000122;-0,000206521;747,2000122;-0,019555889;747,2000122;0,000575801;747,2000122;0,001795819
746,7999878;64,63481903;746,7999878;-4,96434927;746,7999878;0,000810469;746,7999878;-0,011832681;746,7999878;-0,000861975;746,7999878;-0,020795437;746,7999878;0,000356208;746,7999878;0,000729665
